Incident_ID,Timestamp,Service,Incident_Type,Description,Root_Cause,Resolution,Time_To_Resolve_Mins
INC-1024,2025-06-15 10:52:54,Kubernetes Cluster,Resource Exhaustion,DNS resolution failures in internal VPC.,Network partition between primary and secondary availability zones.,Flushed Redis cache and restarted worker instances.,146
INC-1039,2025-06-15 14:27:54,Auth-Service,Service Outage,DNS resolution failures in internal VPC.,Network partition between primary and secondary availability zones.,Restarted kubelet service on affected worker nodes.,140
INC-1296,2025-06-15 16:29:54,Analytics-Worker,Network Timeout,Jenkins build pipeline failing on integration tests.,Long-running queries locked database tables.,Cleared docker builder cache and expanded runner EBS volume.,64
INC-1120,2025-06-17 17:31:54,CI/CD Pipeline,Security Alert,High CPU utilization detected on primary nodes.,Deadlock in concurrent transaction processing.,Restarted kubelet service on affected worker nodes.,160
INC-1214,2025-06-17 18:10:54,Redis-Cache,Security Alert,Disk space critical: > 95% utilized on /var/log.,Expired TLS certificate on internal load balancer.,Scaled up replicas from 3 to 10 to handle the load.,146
INC-1340,2025-06-19 00:35:54,Redis-Cache,Security Alert,Redis cache eviction rate spiked.,Surge in unexpected traffic overwhelmed the service capacity.,Restarted kubelet service on affected worker nodes.,69
INC-1177,2025-06-19 21:33:54,CI/CD Pipeline,Security Alert,502 Bad Gateway errors observed from load balancer.,Recent deployment introduced a memory leak.,Rebooted unresponsive nodes and cordoned them for investigation.,77
INC-1332,2025-06-20 03:32:54,Redis-Cache,Performance Degradation,High CPU utilization detected on primary nodes.,Deadlock in concurrent transaction processing.,Implemented exponential backoff and contacted vendor for quota increase.,171
INC-1291,2025-06-20 21:52:54,Frontend-UI,Network Timeout,Jenkins build pipeline failing on integration tests.,Misconfigured security group blocked inter-node traffic.,Cleared docker builder cache and expanded runner EBS volume.,129
INC-1211,2025-06-21 00:33:54,Analytics-Worker,Deployment Failure,API response times exceeded 2000ms threshold.,Upstream API dependency rate-limited our service requests.,Increased pod resource limits (memory) in Helm chart and redeployed.,18
INC-1434,2025-06-21 05:24:54,CI/CD Pipeline,Resource Exhaustion,Kafka consumer lag building up beyond alerting threshold.,Deadlock in concurrent transaction processing.,Restarted kubelet service on affected worker nodes.,77
INC-1327,2025-06-21 09:37:54,Inventory-DB,Deployment Failure,Kafka consumer lag building up beyond alerting threshold.,Expired TLS certificate on internal load balancer.,Killed the blocking database queries and added missing indexes.,181
INC-1076,2025-06-23 11:12:54,Kubernetes Cluster,Security Alert,Redis cache eviction rate spiked.,Network partition between primary and secondary availability zones.,Rolled back to the previous stable release and initiated RCA.,22
INC-1351,2025-06-24 06:00:54,Kafka-Cluster,Network Timeout,Jenkins build pipeline failing on integration tests.,Deadlock in concurrent transaction processing.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",209
INC-1167,2025-06-25 07:44:54,Inventory-DB,Deployment Failure,Pods are stuck in CrashLoopBackOff state.,Misconfigured security group blocked inter-node traffic.,Killed the blocking database queries and added missing indexes.,180
INC-1070,2025-06-26 01:57:54,User-API,Database Error,Memory leak causing OOM (Out of Memory) kills.,"Log rotation failed, filling up disk space.",Flushed Redis cache and restarted worker instances.,237
INC-1365,2025-06-26 12:59:54,Kubernetes Cluster,Network Timeout,API response times exceeded 2000ms threshold.,Long-running queries locked database tables.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",124
INC-1087,2025-06-27 12:51:54,Kubernetes Cluster,Resource Exhaustion,SSL Certificate expiration warning.,Upstream API dependency rate-limited our service requests.,Renewed and deployed updated TLS certificates via Let's Encrypt.,203
INC-1439,2025-06-27 18:27:54,Payment-Gateway,Security Alert,Database replication lag exceeded 5 minutes.,Misconfigured security group blocked inter-node traffic.,Killed the blocking database queries and added missing indexes.,67
INC-1407,2025-06-30 18:06:54,Analytics-Worker,Security Alert,Pods are stuck in CrashLoopBackOff state.,CI/CD runner ran out of disk space during docker build.,Cleared docker builder cache and expanded runner EBS volume.,178
INC-1019,2025-06-30 18:40:54,Inventory-DB,Security Alert,Database replication lag exceeded 5 minutes.,Expired TLS certificate on internal load balancer.,Scaled up replicas from 3 to 10 to handle the load.,182
INC-1043,2025-07-01 11:25:54,Auth-Service,Performance Degradation,Memory leak causing OOM (Out of Memory) kills.,Network partition between primary and secondary availability zones.,Renewed and deployed updated TLS certificates via Let's Encrypt.,65
INC-1029,2025-07-02 15:14:54,Redis-Cache,Performance Degradation,502 Bad Gateway errors observed from load balancer.,Memory limits set too low in Kubernetes deployment manifests.,Renewed and deployed updated TLS certificates via Let's Encrypt.,240
INC-1072,2025-07-03 06:05:54,Payment-Gateway,Security Alert,API response times exceeded 2000ms threshold.,Deadlock in concurrent transaction processing.,Cleared docker builder cache and expanded runner EBS volume.,234
INC-1114,2025-07-03 19:56:54,Payment-Gateway,Service Outage,Jenkins build pipeline failing on integration tests.,Missing index on newly deployed database table causing full table scans.,Restarted kubelet service on affected worker nodes.,199
INC-1135,2025-07-04 16:44:54,CI/CD Pipeline,Service Outage,Disk space critical: > 95% utilized on /var/log.,Recent deployment introduced a memory leak.,Rebooted unresponsive nodes and cordoned them for investigation.,125
INC-1431,2025-07-05 07:59:54,Kubernetes Cluster,Performance Degradation,SSL Certificate expiration warning.,Surge in unexpected traffic overwhelmed the service capacity.,Increased pod resource limits (memory) in Helm chart and redeployed.,229
INC-1429,2025-07-06 05:38:54,Frontend-UI,Database Error,Kafka consumer lag building up beyond alerting threshold.,Misconfigured security group blocked inter-node traffic.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",110
INC-1037,2025-07-06 23:54:54,Payment-Gateway,Network Timeout,API response times exceeded 2000ms threshold.,Surge in unexpected traffic overwhelmed the service capacity.,Scaled up replicas from 3 to 10 to handle the load.,10
INC-1356,2025-07-07 00:44:54,CI/CD Pipeline,Network Timeout,High number of 5xx errors from backend services.,"Log rotation failed, filling up disk space.",Flushed Redis cache and restarted worker instances.,53
